Date,Low,High,Adj Close,Volume
2019-01-02,39,40,38,148158800
2019-01-03,36,36,34,365248800
2019-01-04,36,37,36,234428400
2019-01-07,36,37,36,219111200
2019-01-08,37,38,37,164101200
2019-01-09,37,39,37,180396400
2019-01-10,38,38,37,143122800
2019-01-11,38,38,37,108092800
2019-01-14,37,38,36,129756800
2019-01-15,38,38,37,114843600
2019-01-16,38,39,38,122278800
2019-01-17,38,39,38,119284800
2019-01-18,39,39,38,135004000
2019-01-22,38,39,37,121576000
2019-01-23,38,39,37,92522400
2019-01-24,38,39,37,101766000
2019-01-25,39,40,38,134142000
2019-01-28,38,39,38,104768400
2019-01-29,39,40,37,166348800
2019-01-30,40,42,40,244439200
2019-01-31,41,42,40,162958400
2019-02-01,41,42,40,130672400
2019-02-04,42,43,41,125982000
2019-02-05,43,44,42,144406400
2019-02-06,43,44,42,112958400
2019-02-07,43,43,41,126966800
2019-02-08,42,43,41,95280000
2019-02-11,42,43,41,83973600
2019-02-12,42,43,42,89134000
2019-02-13,42,43,41,89960800
2019-02-14,42,43,42,87342800
2019-02-15,42,43,41,98507200
2019-02-19,42,43,42,75891200
2019-02-20,43,43,42,104457600
2019-02-21,43,43,42,68998800
2019-02-22,43,43,42,75652800
2019-02-25,43,44,42,87493600
2019-02-26,43,44,42,68280800
2019-02-27,43,44,43,111341600
2019-02-28,43,44,42,112861600
2019-03-01,43,44,43,103544800
2019-03-04,43,44,43,109744800
2019-03-05,44,44,43,78949600
2019-03-06,43,44,42,83241600
2019-03-07,43,44,42,99185600
2019-03-08,42,43,42,95997600
2019-03-11,44,45,44,128044000
2019-03-12,45,46,44,129870400
2019-03-13,45,46,44,124130000
2019-03-14,46,46,45,94318000
2019-03-15,46,47,45,156171600
2019-03-18,46,47,46,104879200
2019-03-19,46,47,45,126585600
2019-03-20,46,47,46,124140800
2019-03-21,47,49,47,204136800
2019-03-22,48,49,46,169630800
2019-03-25,47,48,46,175381200
2019-03-26,46,48,45,199202000
2019-03-27,47,47,46,119393600
2019-03-28,47,47,46,83121600
2019-03-29,47,48,46,94256000
2019-04-01,47,48,47,111448000
2019-04-02,48,49,47,91062800
2019-04-03,48,49,48,93087200
2019-04-04,48,49,48,76457200
2019-04-05,49,49,48,74106400
2019-04-08,49,50,49,103526800
2019-04-09,50,51,49,143072800
2019-04-10,50,50,49,86781200
2019-04-11,50,50,48,83603200
2019-04-12,49,50,48,111042800
2019-04-15,50,50,48,70146400
2019-04-16,50,50,48,102785600
2019-04-17,50,51,49,115627200
2019-04-18,51,51,50,96783200
2019-04-22,51,51,50,77758000
2019-04-23,51,52,50,93292000
2019-04-24,52,52,50,70162400
2019-04-25,51,52,50,74172800
2019-04-26,51,51,50,74596400
2019-04-29,51,51,50,88818800
2019-04-30,50,51,49,186139600
2019-05-01,52,54,51,259309200
2019-05-02,52,53,51,127985200
2019-05-03,53,53,52,83569600
2019-05-06,51,52,51,129772400
2019-05-07,50,52,49,155054800
2019-05-08,50,51,49,105358000
2019-05-09,49,50,49,139634400
2019-05-10,48,50,48,164834800
2019-05-13,46,47,45,229722400
2019-05-14,46,47,46,146118800
2019-05-15,47,48,47,106178800
2019-05-16,47,48,46,132125600
2019-05-17,47,48,46,131516400
2019-05-20,45,46,45,154449200
2019-05-21,46,47,46,113459200
2019-05-22,46,46,45,118994400
2019-05-23,44,45,44,146118800
2019-05-24,45,46,44,94858800
2019-05-28,44,45,44,111792800
2019-05-29,44,45,43,113924800
2019-05-30,44,45,44,84873600
2019-05-31,44,44,43,108174400
2019-06-03,43,44,42,161584400
2019-06-04,44,45,44,123872000
2019-06-05,45,46,45,119093600
2019-06-06,46,46,45,90105200
2019-06-07,46,48,46,122737600
2019-06-10,48,49,47,104883600
2019-06-11,48,49,48,107731600
2019-06-12,48,49,47,73012800
2019-06-13,48,49,47,86698400
2019-06-14,48,48,47,75046000
2019-06-17,48,49,47,58676400
2019-06-18,49,50,48,106204000
2019-06-19,49,50,48,84496800
2019-06-20,50,50,49,86056000
2019-06-21,50,50,49,191202400
2019-06-24,50,50,48,72881600
2019-06-25,49,50,48,84281200
2019-06-26,49,50,49,104270000
2019-06-27,50,50,49,83598800
2019-06-28,49,50,48,124442400
