Date,Low,High,Adj Close,Volume
2020-01-02,74,75,74,135480400
2020-01-03,74,75,73,146322800
2020-01-06,73,75,74,118387200
2020-01-07,74,75,73,108872000
2020-01-08,74,76,75,132079200
2020-01-09,77,78,76,170108400
2020-01-10,77,78,76,140644800
2020-01-13,78,79,78,121532000
2020-01-14,78,79,77,161954400
2020-01-15,77,79,77,121923600
2020-01-16,78,79,78,108829200
2020-01-17,79,80,78,137816400
2020-01-21,79,80,78,110843200
2020-01-22,79,80,78,101832400
2020-01-23,79,80,78,104472000
2020-01-24,79,81,78,146537600
2020-01-27,76,78,76,161940000
2020-01-28,78,80,78,162234000
2020-01-29,80,82,80,216229200
2020-01-30,80,81,80,126743200
2020-01-31,77,81,76,199588400
2020-02-03,76,78,76,173985600
2020-02-04,78,80,78,136616400
2020-02-05,80,81,79,118826800
2020-02-06,80,81,80,105425600
2020-02-07,80,81,79,117684000
2020-02-10,78,80,79,109348800
2020-02-11,80,81,79,94323200
2020-02-12,80,82,81,113730400
2020-02-13,81,82,80,94747600
2020-02-14,81,81,80,80113600
2020-02-18,79,80,79,152531200
2020-02-19,80,81,80,93984000
2020-02-20,80,81,79,100566000
2020-02-21,78,80,77,129554000
2020-02-24,72,76,73,222195200
2020-02-25,72,76,71,230673600
2020-02-26,72,74,72,198054800
2020-02-27,68,72,67,320605600
2020-02-28,64,70,67,426884800
2020-03-02,69,75,74,341397200
2020-03-03,71,76,71,319475600
2020-03-04,73,76,75,219178400
2020-03-05,73,75,72,187572800
2020-03-06,70,73,71,226176800
2020-03-09,66,70,66,286744800
2020-03-10,67,72,70,285290000
2020-03-11,68,70,68,255598800
2020-03-12,62,68,61,418474000
2020-03-13,63,70,69,370732000
2020-03-16,60,65,60,322423600
2020-03-17,60,64,62,324056000
2020-03-18,59,62,61,300233600
2020-03-19,61,63,60,271857200
2020-03-20,57,63,56,401693200
2020-03-23,53,57,55,336752800
2020-03-24,59,62,61,287531200
2020-03-25,61,65,61,303602000
2020-03-26,62,65,64,252087200
2020-03-27,62,64,61,204216800
2020-03-30,62,64,63,167976400
2020-03-31,63,66,63,197002000
