Date,Low,High,Adj Close,Volume
2020-01-02,1341.550049,1368.140015,1367.369995,1406600
2020-01-03,1345.543945,1372.5,1360.660034,1186400
2020-01-06,1350.0,1396.5,1394.209961,1732300
2020-01-07,1390.380005,1402.98999,1393.339966,1502700
2020-01-08,1390.839966,1411.579956,1404.319946,1528000
2020-01-09,1410.27002,1427.329956,1419.829956,1500900
2020-01-10,1418.349976,1434.928955,1429.72998,1820700
2020-01-13,1426.02002,1440.52002,1439.22998,1652300
2020-01-14,1428.369995,1441.800049,1430.880005,1558900
2020-01-15,1430.209961,1441.39502,1439.199951,1282700
2020-01-16,1440.920044,1451.98999,1451.699951,1173700
2020-01-17,1458.219971,1481.295044,1480.390015,2396200
2020-01-21,1471.199951,1491.849976,1484.400024,2036700
2020-01-22,1484.930054,1503.213989,1485.949951,1610800
2020-01-23,1482.099976,1495.52002,1486.650024,1351200
2020-01-24,1465.25,1495.494995,1466.709961,1784600
2020-01-27,1421.199951,1438.069946,1433.900024,1755200
2020-01-28,1432.469971,1456.0,1452.560059,1577400
2020-01-29,1446.73999,1465.430054,1458.630005,1077700
2020-01-30,1436.400024,1457.280029,1455.839966,1339400
2020-01-31,1428.530029,1470.130005,1434.22998,2417200
2020-02-03,1458.98999,1490.0,1485.939941,3055200
2020-02-04,1426.300049,1469.5,1447.069946,3933000
2020-02-05,1430.560059,1463.839966,1448.22998,1986200
2020-02-06,1449.569946,1482.0,1476.22998,1679400
2020-02-07,1466.349976,1485.839966,1479.22998,1172300
2020-02-10,1474.319946,1509.5,1508.680054,1419900
2020-02-11,1505.637939,1529.630005,1508.790039,1344600
2020-02-12,1508.109985,1520.694946,1518.27002,1167600
2020-02-13,1504.599976,1527.180054,1514.660034,929500
2020-02-14,1507.339966,1520.73999,1520.73999,1197800
2020-02-18,1512.589966,1531.630005,1519.670044,1120700
2020-02-19,1521.400024,1532.105957,1526.689941,949300
2020-02-20,1506.819946,1529.640015,1518.150024,1096600
2020-02-21,1480.439941,1512.214966,1485.109985,1731700
2020-02-24,1411.390015,1436.969971,1421.589966,2867100
2020-02-25,1382.400024,1438.140015,1388.449951,2478300
2020-02-26,1379.0,1415.699951,1393.180054,2202400
2020-02-27,1317.170044,1371.703979,1318.089966,2978300
2020-02-28,1271.0,1341.140015,1339.329956,3790600
2020-03-02,1326.814941,1390.869995,1389.109985,2431500
2020-03-03,1332.0,1410.150024,1341.390015,2402300
2020-03-04,1343.109985,1388.089966,1386.52002,1913300
2020-03-05,1305.099976,1358.910034,1319.040039,2561300
2020-03-06,1261.050049,1306.219971,1298.410034,2660600
2020-03-09,1200.0,1254.76001,1215.560059,3365400
2020-03-10,1218.77002,1281.150024,1280.390015,2611400
